#central density,	central pressure, radius,	mass,   quarkRadiusPattern, quarkCoreMassPattern,   information entropy,	disequilibrium,	complexity
1.5221184774e+41, 9.91459989466e+32, 2.51586234966e-11, 2.839538769, 0, 0, 0, 0, 0
1.55510445208e+42, 5.11289986066e+35, 15.7420511135, 11.2540409273, 0, 0, 0, 0, 0
1.57676554172e+39, 1.77920005836e+30, 2.47188091653e-10, 27.8989866381, 0, 0, 0, 0, 0
1.67545382564e+41, 1.27010006068e+33, 2.39797622619e-11, 2.70648609048, 0, 0, 0, 0, 0
1.67922878732e+42, 6.01830017988e+35, 15.1490767242, 11.9863187784, 0, 0, 0, 0, 0
1.80865604492e+42, 7.01760013598e+35, 21.8954748126, 18.0064786039, 0, 0, 0, 0, 0
1.829058814e+41, 1.60629992601e+33, 2.2950770468e-11, 2.59034850017, 0, 0, 0, 0, 0
1.8793916364e+37, 1.9380001003e+28, 2.26413573862e-09, 255.5426341, 0, 0, 0, 0, 0
1.89125580168e+40, 4.15740023878e+31, 7.1373331401e-11, 8.05558118819, 0, 0, 0, 0, 0
1.90015392564e+39, 2.15470010635e+30, 2.25173207005e-10, 25.41426837, 0, 0, 0, 0, 0
1.905456848e+29, 5.81999988403e+15, 2.24859433199e+13, 1268944.12456, 0, 0, 0, 0, 0
1.94356598496e+42, 8.11389999312e+35, 14.0812579961, 13.3928915093, 0, 0, 0, 0, 0
1.98302332252e+41, 1.99709996558e+33, 2.2041806925e-11, 2.4877579398, 0, 0, 0, 0, 0
2.2308225928e+42, 1.06090000362e+36, 13.1434259736, 14.1747100458, 0, 0, 0, 0, 0
2.2766614132e+37, 2.5029999916e+28, 2.05713068085e-09, 232.178920967, 0, 0, 0, 0, 0
2.287447018e+36, 1.27200001139e+27, 6.48986380727e-09, 732.481216794, 0, 0, 0, 0, 0
2.3566546488e+31, 4.96800021162e+19, 2.02191611041e-06, 228204.412252, 0, 0, 0, 0, 0
2.3566546488e+33, 9.75500077518e+22, 2.02191611041e-07, 22820.4419512, 0, 0, 0, 0, 0
2.35935105e+35, 6.67599993366e+25, 2.02076039948e-08, 2280.73975611, 0, 0, 0, 0, 0
2.44680432892e+41, 3.5927000656e+33, 1.9843189725e-11, 2.23961005259, 0, 0, 0, 0, 0
2.44761324928e+39, 2.8565001309e+30, 1.98399104311e-10, 22.39239817, 0, 0, 0, 0, 0
2.50261983376e+40, 6.02340009791e+31, 6.20459821861e-11, 7.00284588679, 0, 0, 0, 0, 0
2.54261645156e+42, 1.35239995614e+36, 18.4668122272, 17.9604934906, 0, 0, 0, 0, 0
2.88047552192e+42, 1.68760006538e+36, 17.3500314, 19.2209557291, 0, 0, 0, 0, 0
2.91427041696e+41, 5.96669991088e+33, 1.81821895505e-11, 2.05214058514, 0, 0, 0, 0, 0
2.9678389208e+34, 3.83300004184e+24, 5.69758669153e-08, 6432.55243228, 0, 0, 0, 0, 0
2.9687377212e+34, 3.83299990901e+24, 5.69672413961e-08, 6429.63167273, 0, 0, 0, 0, 0
2.970535322e+35, 8.73799974798e+25, 1.80091719398e-08, 2032.61273747, 0, 0, 0, 0, 0
2.979523326e+37, 3.40400014548e+28, 1.79819882686e-09, 202.954465594, 0, 0, 0, 0, 0
3.07192000712e+39, 3.7460999022e+30, 1.77094940427e-10, 19.9878950723, 0, 0, 0, 0, 0
3.14139727804e+38, 6.21499986105e+29, 5.53795819904e-10, 62.5043964749, 0, 0, 0, 0, 0
3.23954628172e+40, 8.46129982018e+31, 5.45342080232e-11, 6.15502637305, 0, 0, 0, 0, 0
3.24583788452e+42, 2.06789994811e+36, 16.3443986755, 19.8628439234, 0, 0, 0, 0, 0
3.31504551532e+38, 6.43039975142e+29, 5.39096307378e-10, 60.8453259914, 0, 0, 0, 0, 0
3.386230507e+41, 9.27660004503e+33, 1.68675826122e-11, 1.90376689399, 0, 0, 0, 0, 0
3.473863546e+38, 6.58129967804e+29, 5.2662894715e-10, 59.4381890151, 0, 0, 0, 0, 0
3.63996185992e+42, 2.49470004016e+36, 15.4341935826, 20.1616518972, 0, 0, 0, 0, 0
3.65703906752e+40, 9.92859959198e+31, 5.13270501016e-11, 5.79304909395, 0, 0, 0, 0, 0
3.7354144624e+32, 5.26599965148e+21, 5.0785730876e-07, 57319.52817, 0, 0, 0, 0, 0
3.7444024664e+36, 2.35599993548e+27, 5.07247416252e-09, 572.506916352, 0, 0, 0, 0, 0
3.7515928696e+37, 4.62799995043e+28, 1.6025192459e-09, 180.869007915, 0, 0, 0, 0, 0
3.86331375932e+41, 1.36679996373e+34, 1.57917810683e-11, 1.78234611421, 0, 0, 0, 0, 0
3.97260788796e+38, 6.99449980974e+29, 4.9246260105e-10, 55.5819890113, 0, 0, 0, 0, 0
4.02905255308e+39, 5.26789983412e+30, 1.54635655194e-10, 17.4530180955, 0, 0, 0, 0, 0
4.22445176004e+40, 1.20230002232e+32, 4.77557782911e-11, 5.38997600117, 0, 0, 0, 0, 0
4.34641897432e+41, 1.92769993495e+34, 1.48883068439e-11, 1.68037509795, 0, 0, 0, 0, 0
4.5290552156e+37, 5.94899990857e+28, 1.45850290069e-09, 164.614544201, 0, 0, 0, 0, 0
4.5910724432e+38, 7.4684998899e+29, 4.58093397221e-10, 51.7028954809, 0, 0, 0, 0, 0
4.7088152956e+35, 1.62899995667e+26, 1.43039267399e-08, 1614.41870582, 0, 0, 0, 0, 0
4.83626519232e+41, 2.62350007412e+34, 1.41141929877e-11, 1.59300441712, 0, 0, 0, 0, 0
4.83941099372e+40, 1.44299993981e+32, 4.46184882444e-11, 5.03588443912, 0, 0, 0, 0, 0
5.13691392612e+39, 7.23040022588e+30, 1.36949345328e-10, 15.4568455672, 0, 0, 0, 0, 0
5.31361808476e+38, 8.01490025739e+29, 4.25810078651e-10, 48.0592268655, 0, 0, 0, 0, 0
5.3334815736e+41, 3.46699995596e+34, 1.34401991951e-11, 1.51693381964, 0, 0, 0, 0, 0
5.49643408612e+40, 1.71749994411e+32, 4.18668795299e-11, 4.7253229718, 0, 0, 0, 0, 0
5.83887703852e+41, 4.47019984284e+34, 1.28453647311e-11, 1.4497975769, 0, 0, 0, 0, 0
5.9203982348e+31, 2.4309997534e+20, 1.27566207604e-06, 143978.136346, 0, 0, 0, 0, 0
5.9212970352e+33, 3.91100009885e+23, 1.27556525527e-07, 14396.7207611, 0, 0, 0, 0, 0
5.9248922368e+34, 1.00599996853e+25, 4.03246751094e-08, 4551.26139615, 0, 0, 0, 0, 0
5.9374754424e+36, 4.36199994012e+27, 4.02819226967e-09, 454.643616968, 0, 0, 0, 0, 0
